V1,V2,V3,V4,V5,Target
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
0,1,0,0,0,0
1,1,1,1,1,1
1,1,1,1,0,2
1,1,1,0,0,3
1,1,0,0,0,4
1,0,0,0,0,5
0,1,0,0,1,6
0,1,1,0,0,7
0,1,1,1,0,8
0,0,0,0,1,9
1,1,0,0,0,10
